word1,word2,word3,interaction_info,abs_interaction_info
uerbum,primus,ago,0.19417218803688224,0.19417218803688224
uolo,tempus,nomen,0.19414608806530265,0.19414608806530265
dies,uenio,credo,0.19410588757617292,0.19410588757617292
primus,ago,bonus,0.19403568030772775,0.19403568030772775
locus,dies,uerbum,0.1939944275485072,0.1939944275485072
primus,ago,credo,0.19396730564287407,0.19396730564287407
pars,nomen,primus,0.19381460238897436,0.19381460238897436
unus,dies,bonus,0.1937922549336994,0.1937922549336994
uenio,primus,credo,0.19356088143297348,0.19356088143297348
tempus,manus,credo,0.1935569572817913,0.1935569572817913
locus,dies,uis,0.19344255293567436,0.19344255293567436
uolo,ago,bonus,0.19337844615415015,0.19337844615415015
dies,nomen,manus,0.19333454199456035,0.19333454199456035
homo,unus,nomen,0.19318564619225065,0.19318564619225065
locus,nomen,uenio,0.19316221969400046,0.19316221969400046
unus,uenio,primus,0.19303470816629434,0.19303470816629434
nomen,totus,terra,0.19284283874910435,0.19284283874910435
dies,uerbum,primus,0.19273253563847545,0.19273253563847545
unus,tempus,ago,0.19266773732001485,0.19266773732001485
unus,uolo,uerbum,0.19263315825895452,0.19263315825895452
uolo,locus,uis,0.1926310627424178,0.1926310627424178
magnus,pars,ago,0.1925408243444366,0.1925408243444366
unus,ago,bonus,0.19250067838158785,0.19250067838158785
unus,locus,uis,0.19245755264536962,0.19245755264536962
uolo,uenio,ago,0.1923686640791571,0.1923686640791571
dies,tempus,credo,0.19233393331981824,0.19233393331981824
unus,nomen,ago,0.19232221576958675,0.19232221576958675
locus,tempus,manus,0.1922505735569812,0.1922505735569812
locus,uir,ago,0.19224891068305383,0.19224891068305383
tempus,uenio,credo,0.19223643596043302,0.19223643596043302
locus,primus,uis,0.192231790495028,0.192231790495028
uolo,magnus,dies,0.19215752835487854,0.19215752835487854
dies,primus,populus,0.19210568334745556,0.19210568334745556
dies,uenio,uerbum,0.19201914218651467,0.19201914218651467
deus,ago,terra,0.19200943185149538,0.19200943185149538
